courseId,genEdId
ARTH 260,1LA
ASTR 210,1PS
ASTR 401,1CLL
ATMS 315,1CLL
CHBE 430,1CLL
CLCV 132,1HP
CLCV 132,1WCC
CLCV 230,1PS
CLCV 230,1WCC
CWL 190,1LA
CWL 190,1NW
CWL 215,1LA
CWL 249,1LA
DANC 340,1US
DANC 340,1HP
EALC 220,1HP
EALC 220,1NW
EALC 227,1HP
EALC 227,1NW
EALC 361,1SS
EALC 361,1NW
ENGL 101,1LA
ENGL 251,1WCC
ENGL 251,1LA
ESE 465,1CLL
GCL 144,1US
GCL 144,1BSC
GEOG 465,1CLL
GLBL 280,1CLL
GWS 361,1SS
GWS 361,1NW
HIST 105,1HP
HIST 105,1NW
HIST 207,1HP
HIST 220,1HP
HIST 220,1NW
HIST 227,1HP
HIST 227,1NW
HIST 258,1HP
HIST 258,1WCC
HIST 265,1HP
HIST 265,1WCC
HIST 289,1HP
LING 111,1NW
LLS 260,1WCC
LLS 260,1LA
LLS 265,1US
PHIL 270,1HP
PHYS 280,1CLL
PLPA 204,1LS
PS 270,1HP
REL 235,1HP
RUSS 225,1LA
SCAN 215,1LA
SOC 170,1US
SOC 170,1SS
AAS 287,1US
AAS 287,1SS
AAS 370,1CLL
AFRO 243,1SS
AFST 243,1SS
AGED 230,1SS
AGED 230,1CLL
AGED 340,1US
AGED 360,1SS
CLCV 131,1HP
CLCV 131,1WCC
CMN 275,1HP
CMN 275,1WCC
CWL 111,1LA
CWL 221,1WCC
CWL 221,1LA
CWL 240,1LA
CWL 252,1WCC
CWL 252,1LA
CWL 272,1LA
EALC 122,1HP
EALC 122,1NW
EALC 240,1NW
ENGL 114,1LA
ENGL 207,1WCC
ENGL 207,1LA
ENGL 223,1WCC
ENGL 223,1LA
ENGL 241,1WCC
ESE 100,1PS
GCL 124,1PS
GCL 126,1SS
GCL 128,1LA
GCL 143,1QR2
GCL 143,1US
GCL 143,1SS
GCL 147,1US
GCL 147,1SS
GCL 148,1HP
GCL 185,1US
GCL 185,1SS
GCL 186,1SS
GCL 188,1LA
GCL 195,1WCC
GCL 195,1LA
GER 205,1HP
GER 205,1WCC
GER 270,1LA
GWS 270,1LA
GWS 286,1US
GWS 286,1HP
GWS 392,1CLL
HIST 286,1US
HIST 286,1HP
HIST 290,1WCC
ITAL 240,1LA
JS 220,1WCC
JS 220,1LA
LING 240,1HP
LLS 220,1US
LLS 220,1SS
LLS 246,1US
LLS 246,1LA
LLS 372,1CLL
LLS 392,1CLL
MATH 405,1QR2
MDVL 240,1LA
MDVL 252,1WCC
MDVL 252,1LA
PHIL 231,1HP
PS 170,1HP
PS 225,1SS
PS 243,1SS
